id;type;GlobalId;Name;material_name;Espesor_mm;area_m2;volume_m3;objectType;is_target_class
625;IfcBeam;3CGq687PzBuuySFo1Q5mn6;M_W-Wide Flange:W460X60:W460X60:242236;;;1.5318720278709719;0.007980274778670799;M_W-Wide Flange:W460X60:176883;True
626;IfcBeam;2t9idiDlv0ZBWxqSNhKYZq;M_W-Wide Flange:W460X60:W460X60:178999;;;14.09375933289727;0.07409163594622827;M_W-Wide Flange:W460X60:176883;True
627;IfcBeam;0NwXg6Ayr9z88KpqSjw_kV;M_W-Wide Flange:W460X60:W460X60:187462;;;4.725846546833369;0.024789691852917583;M_W-Wide Flange:W460X60:176883;True
628;IfcBeam;2LX158HAHA$f07Y9Ra1FPJ;M_W-Wide Flange:W460X60:W460X60:225399;;;10.54963351876201;0.05543942421188839;M_W-Wide Flange:W460X60:176883;True
629;IfcBeam;2t9idiDlv0ZBWxqSNhKYKy;M_W-Wide Flange:W460X60:W460X60:177919;;;14.49217467548025;0.0761884371647571;M_W-Wide Flange:W460X60:176883;True
630;IfcBeam;2t9idiDlv0ZBWxqSNhKYKm;M_W-Wide Flange:W460X60:W460X60:177907;;;10.090422946130937;0.05302266666523929;M_W-Wide Flange:W460X60:176883;True
631;IfcBeam;2t9idiDlv0ZBWxqSNhKYMn;M_W-Wide Flange:W460X60:W460X60:177778;;;12.323024476974053;0.06477251941944143;M_W-Wide Flange:W460X60:176883;True
632;IfcBeam;2t9idiDlv0ZBWxqSNhKYoT;M_W-Wide Flange:W460X60:W460X60:180062;;;7.320735399300552;0.038446209379519175;M_W-Wide Flange:W460X60:176883;True
633;IfcBeam;2t9idiDlv0ZBWxqSNhKYo7;M_W-Wide Flange:W460X60:W460X60:180036;;;10.419484506856884;0.054754469153123084;M_W-Wide Flange:W460X60:176883;True
634;IfcBeam;2t9idiDlv0ZBWxqSNhKbHj;M_W-Wide Flange:W460X60:W460X60:182190;;;6.806625848553239;0.03574052659381312;M_W-Wide Flange:W460X60:176883;True
635;IfcBeam;2t9idiDlv0ZBWxqSNhKYwB;M_W-Wide Flange:W460X60:W460X60:179528;;;9.382129003761609;0.04929502005452144;M_W-Wide Flange:W460X60:176883;True
636;IfcBeam;2t9idiDlv0ZBWxqSNhKYxS;M_W-Wide Flange:W460X60:W460X60:179487;;;10.870808226444105;0.057129719360731454;M_W-Wide Flange:W460X60:176883;True
637;IfcBeam;0NwXg6Ayr9z88KpqSjw_xM;M_W-Wide Flange:W460X60:W460X60:186639;;;3.970173039103223;0.020812693574247948;M_W-Wide Flange:W460X60:176883;True
638;IfcBeam;3CGq687PzBuuySFo1Q5mn1;M_W-Wide Flange:W460X60:W460X60:242235;;;1.4544023779228206;0.007572563430616325;M_W-Wide Flange:W460X60:176883;True
639;IfcBeam;2t9idiDlv0ZBWxqSNhKbBQ;M_W-Wide Flange:W460X60:W460X60:180505;;;14.09375933289737;0.07409163594621818;M_W-Wide Flange:W460X60:176883;True
640;IfcBeam;2t9idiDlv0ZBWxqSNhKbpe;M_W-Wide Flange:W460X60:W460X60:184107;;;10.090422946131007;0.05302266666523523;M_W-Wide Flange:W460X60:176883;True
641;IfcBeam;0NwXg6Ayr9z88KpqSjw_rT;M_W-Wide Flange:W460X60:W460X60:187012;;;9.535592691269969;0.050102676814789825;M_W-Wide Flange:W460X60:176883;True
642;IfcBeam;2t9idiDlv0ZBWxqSNhKYgN;M_W-Wide Flange:W460X60:W460X60:178516;;;12.323024476974265;0.06477251941941423;M_W-Wide Flange:W460X60:176883;True
643;IfcBeam;2t9idiDlv0ZBWxqSNhKbpS;M_W-Wide Flange:W460X60:W460X60:184095;;;10.090422946131092;0.053022666665237334;M_W-Wide Flange:W460X60:176883;True
644;IfcBeam;0NwXg6Ayr9z88KpqSjw_sZ;M_W-Wide Flange:W460X60:W460X60:187002;;;9.535592691274877;0.05010267682018213;M_W-Wide Flange:W460X60:176883;True
645;IfcBeam;3CGq687PzBuuySFo1Q5n7e;M_W-Wide Flange:W460X60:W460X60:241554;;;10.419484506851825;0.05475446914723862;M_W-Wide Flange:W460X60:176883;True
646;IfcBeam;2t9idiDlv0ZBWxqSNhKb3R;M_W-Wide Flange:W460X60:W460X60:181016;;;7.5125281183826536;0.03945558618832291;M_W-Wide Flange:W460X60:176883;True
647;IfcBeam;3CGq687PzBuuySFo1Q5mnH;M_W-Wide Flange:W460X60:W460X60:242219;;;1.5318720278680324;0.007980274778655483;M_W-Wide Flange:W460X60:176883;True
648;IfcBeam;2t9idiDlv0ZBWxqSNhKbBD;M_W-Wide Flange:W460X60:W460X60:180494;;;9.460336459898137;0.04970661436779268;M_W-Wide Flange:W460X60:176883;True
649;IfcBeam;2t9idiDlv0ZBWxqSNhKYZl;M_W-Wide Flange:W460X60:W460X60:178988;;;7.512528118382721;0.039455586188332156;M_W-Wide Flange:W460X60:176883;True
650;IfcBeam;2t9idiDlv0ZBWxqSNhKYfb;M_W-Wide Flange:W460X60:W460X60:178598;;;15.67619719447427;0.08241977313933387;M_W-Wide Flange:W460X60:176883;True
651;IfcBeam;2t9idiDlv0ZBWxqSNhKYIZ;M_W-Wide Flange:W460X60:W460X60:178016;;;6.793321727336357;0.035670508964990175;M_W-Wide Flange:W460X60:176883;True
